,ex_name,userId,Reference,SampleA,SampleB,choice_answerTimbre,choice_answerRhythm,choice_answerMelody,choice_answerTotal,choice_time
0,ex202404,user1,set2/2/piano/X_1913-28.wav,set2/2/piano/C_1916-39.wav,set2/2/piano/Y_1913-8.wav,B+,B+,B+,B+,36481
1,ex202404,user1,set2/0/residuals/X_2090-23.wav,set2/0/residuals/Y_2090-7.wav,set2/0/residuals/C_2095-48.wav,A+,A-,A-,A-,36029
2,ex202404,user1,set2/1/bass/X_2086-27.wav,set2/1/bass/A_1954-46.wav,set2/1/bass/B_2037-38.wav,B-,B-,B-,B-,45704
3,ex202404,user1,set2/2/piano/X_1913-28.wav,set2/2/piano/A_1948-22.wav,set2/2/piano/B_1956-37.wav,A-,NA,A-,A-,59801
4,ex202404,user1,set2/3/drums/X_2037-48.wav,set2/3/drums/A_1936-8.wav,set2/3/drums/B_1898-36.wav,NA,A-,NA,A-,53916
5,ex202404,user1,set2/2/guitar/X_1913-36.wav,set2/2/guitar/Y_1913-6.wav,set2/2/guitar/C_1916-38.wav,A+,A+,A+,A+,24175
6,ex202404,user1,set2/2/residuals/X_1913-12.wav,set2/2/residuals/Y_1913-67.wav,set2/2/residuals/C_1916-7.wav,A+,A-,A-,A+,56880
7,ex202404,user1,set2/0/piano/X_2090-40.wav,set2/0/piano/A_2051-48.wav,set2/0/piano/B_2023-30.wav,A-,A-,A-,A-,36570
8,ex202404,user1,set2/0/guitar/X_2090-25.wav,set2/0/guitar/A_2051-3.wav,set2/0/guitar/B_2023-23.wav,NA,A-,A-,A-,41479
9,ex202404,user1,set2/3/guitar/X_2037-5.wav,set2/3/guitar/C_2024-13.wav,set2/3/guitar/Y_2037-3.wav,B+,B+,B+,B+,23297
10,ex202404,user1,set2/0/bass/X_2090-41.wav,set2/0/bass/A_2051-7.wav,set2/0/bass/B_2023-41.wav,NA,A-,A-,A-,34525
11,ex202404,user1,set2/2/drums/X_1913-20.wav,set2/2/drums/Y_1913-45.wav,set2/2/drums/C_1916-34.wav,A+,A+,A+,A+,30974
12,ex202404,user1,set2/3/piano/X_2037-38.wav,set2/3/piano/C_2024-34.wav,set2/3/piano/Y_2037-35.wav,B+,B+,B+,B+,27149
13,ex202404,user1,set2/3/bass/X_2037-22.wav,set2/3/bass/A_1936-22.wav,set2/3/bass/B_1898-29.wav,A+,A-,A-,A-,50652
14,ex202404,user1,set2/2/guitar/X_1913-36.wav,set2/2/guitar/A_1948-31.wav,set2/2/guitar/B_1956-8.wav,B-,B-,B-,B-,52639
15,ex202404,user1,set2/1/residuals/X_2086-39.wav,set2/1/residuals/C_2010-70.wav,set2/1/residuals/Y_2086-40.wav,B+,B-,B-,B-,26250
16,ex202404,user1,set2/2/bass/X_1913-11.wav,set2/2/bass/A_1948-20.wav,set2/2/bass/B_1956-24.wav,A-,NA,NA,A-,70445
17,ex202404,user1,set2/3/residuals/X_2037-20.wav,set2/3/residuals/A_1936-45.wav,set2/3/residuals/B_1898-46.wav,B-,B-,NA,B-,43103
18,ex202404,user1,set2/0/bass/X_2090-41.wav,set2/0/bass/Y_2090-16.wav,set2/0/bass/C_2095-41.wav,A+,A-,A-,A-,45142
19,ex202404,user1,set2/0/residuals/X_2090-23.wav,set2/0/residuals/A_2051-33.wav,set2/0/residuals/B_2023-44.wav,NA,A-,A-,A-,94505
20,ex202404,user1,set2/0/drums/X_2090-6.wav,set2/0/drums/A_2051-1.wav,set2/0/drums/B_2023-10.wav,NA,NA,B-,B-,109467
21,ex202404,user1,set2/3/bass/X_2037-22.wav,set2/3/bass/C_2024-16.wav,set2/3/bass/Y_2037-33.wav,B-,B-,NA,B-,36456
22,ex202404,user1,set2/1/piano/X_2086-18.wav,set2/1/piano/A_1954-14.wav,set2/1/piano/B_2037-43.wav,NA,B-,NA,B-,40931
23,ex202404,user1,set2/1/drums/X_2086-36.wav,set2/1/drums/A_1954-15.wav,set2/1/drums/B_2037-46.wav,NA,B+,B+,B+,38150
24,ex202404,user1,set2/2/residuals/X_1913-12.wav,set2/2/residuals/A_1948-25.wav,set2/2/residuals/B_1956-14.wav,NA,A+,A+,A+,35279
25,ex202404,user1,set2/2/bass/X_1913-11.wav,set2/2/bass/Y_1913-61.wav,set2/2/bass/C_1916-38.wav,A-,A-,NA,A-,38913
26,ex202404,user1,samples/dummyX2.wav,samples/dummyA2.wav,samples/dummyX2.wav,B+,B+,B+,B+,30168
27,ex202404,user1,set2/1/bass/X_2086-27.wav,set2/1/bass/C_2010-51.wav,set2/1/bass/Y_2086-44.wav,B+,B-,NA,B+,41281
28,ex202404,user1,set2/1/residuals/X_2086-39.wav,set2/1/residuals/A_1954-6.wav,set2/1/residuals/B_2037-6.wav,NA,A-,NA,A-,36715
29,ex202404,user1,set2/3/piano/X_2037-38.wav,set2/3/piano/A_1936-47.wav,set2/3/piano/B_1898-46.wav,NA,B-,NA,B-,46308
30,ex202404,user1,set2/0/piano/X_2090-40.wav,set2/0/piano/C_2095-45.wav,set2/0/piano/Y_2090-12.wav,B+,B-,B-,B-,35941
31,ex202404,user1,set2/1/guitar/X_2086-19.wav,set2/1/guitar/A_1954-17.wav,set2/1/guitar/B_2037-51.wav,NA,A-,NA,A-,50884
32,ex202404,user1,set2/0/guitar/X_2090-25.wav,set2/0/guitar/Y_2090-17.wav,set2/0/guitar/C_2095-50.wav,NA,A+,A-,A-,33252
33,ex202404,user1,set2/3/guitar/X_2037-5.wav,set2/3/guitar/A_1936-34.wav,set2/3/guitar/B_1898-18.wav,NA,B-,NA,B-,33331
34,ex202404,user1,set2/2/drums/X_1913-20.wav,set2/2/drums/A_1948-39.wav,set2/2/drums/B_1956-16.wav,A-,NA,NA,A-,37633
35,ex202404,user1,set2/3/drums/X_2037-48.wav,set2/3/drums/C_2024-35.wav,set2/3/drums/Y_2037-49.wav,B+,B+,B-,B+,29568
36,ex202404,user1,set2/1/guitar/X_2086-19.wav,set2/1/guitar/Y_2086-28.wav,set2/1/guitar/C_2010-71.wav,A-,A+,A-,A-,22526
37,ex202404,user1,set2/1/piano/X_2086-18.wav,set2/1/piano/Y_2086-19.wav,set2/1/piano/C_2010-13.wav,A+,A-,A+,A+,53067
38,ex202404,user1,set2/3/residuals/X_2037-20.wav,set2/3/residuals/C_2024-37.wav,set2/3/residuals/Y_2037-24.wav,B+,B-,B+,B+,45587
39,ex202404,user1,set2/0/drums/X_2090-6.wav,set2/0/drums/Y_2090-33.wav,set2/0/drums/C_2095-53.wav,A-,NA,NA,A-,36703
40,ex202404,user1,samples/dummyX1.wav,samples/dummyX1.wav,samples/dummyB1.wav,A+,A+,A+,A+,22090
41,ex202404,user1,set2/1/drums/X_2086-36.wav,set2/1/drums/Y_2086-34.wav,set2/1/drums/C_2010-41.wav,A+,A+,A+,A+,33999
42,ex202404,user2,set13/1/piano/X_2081-8.wav,set13/1/piano/A_1899-27.wav,set13/1/piano/B_1943-18.wav,A-,B-,B-,B-,35529
43,ex202404,user2,set13/2/residuals/X_2017-42.wav,set13/2/residuals/C_2008-16.wav,set13/2/residuals/Y_2017-20.wav,A-,A-,A-,A-,17975
44,ex202404,user2,set13/1/piano/X_2081-8.wav,set13/1/piano/Y_2081-2.wav,set13/1/piano/C_1996-56.wav,A+,A+,A+,A+,18736
45,ex202404,user2,set13/1/residuals/X_2081-37.wav,set13/1/residuals/Y_2081-18.wav,set13/1/residuals/C_1996-8.wav,A-,B-,B-,B-,19320
46,ex202404,user2,set13/2/bass/X_2017-23.wav,set13/2/bass/Y_2017-37.wav,set13/2/bass/C_2008-20.wav,A+,A-,A+,A+,18110
47,ex202404,user2,set13/1/bass/X_2081-29.wav,set13/1/bass/C_1996-35.wav,set13/1/bass/Y_2081-17.wav,A-,A-,A-,A-,25441
48,ex202404,user2,set13/0/bass/X_1959-44.wav,set13/0/bass/A_1931-22.wav,set13/0/bass/B_1897-3.wav,A-,A-,NA,A-,22808
49,ex202404,user2,set13/1/guitar/X_2081-23.wav,set13/1/guitar/A_1899-7.wav,set13/1/guitar/B_1943-28.wav,A-,B-,B-,B-,19791
50,ex202404,user2,set13/2/piano/X_2017-5.wav,set13/2/piano/Y_2017-10.wav,set13/2/piano/C_2008-5.wav,A+,A+,A-,A+,16407
51,ex202404,user2,set13/0/guitar/X_1959-27.wav,set13/0/guitar/A_1931-14.wav,set13/0/guitar/B_1897-27.wav,B-,B+,B-,B-,15298
52,ex202404,user2,set13/3/drums/X_1947-24.wav,set13/3/drums/Y_1947-59.wav,set13/3/drums/C_2064-22.wav,A+,A+,A+,A+,15308
53,ex202404,user2,set13/1/drums/X_2081-33.wav,set13/1/drums/A_1899-26.wav,set13/1/drums/B_1943-21.wav,B-,A+,A-,A-,18642
54,ex202404,user2,set13/2/residuals/X_2017-42.wav,set13/2/residuals/A_1959-30.wav,set13/2/residuals/B_1973-18.wav,B-,A-,A-,A-,18036
55,ex202404,user2,set13/1/bass/X_2081-29.wav,set13/1/bass/A_1899-5.wav,set13/1/bass/B_1943-23.wav,A-,A-,A-,A-,16980
56,ex202404,user2,set13/2/guitar/X_2017-34.wav,set13/2/guitar/A_1959-48.wav,set13/2/guitar/B_1973-27.wav,B-,A-,A-,A-,16075
57,ex202404,user2,set13/3/piano/X_1947-43.wav,set13/3/piano/A_1891-10.wav,set13/3/piano/B_1903-3.wav,B-,B-,B-,B-,17524
58,ex202404,user2,set13/3/bass/X_1947-39.wav,set13/3/bass/Y_1947-63.wav,set13/3/bass/C_2064-24.wav,A+,A-,B-,A-,28996
59,ex202404,user2,set13/0/piano/X_1959-37.wav,set13/0/piano/A_1931-19.wav,set13/0/piano/B_1897-50.wav,B-,B-,B+,B-,31308
60,ex202404,user2,set13/3/drums/X_1947-24.wav,set13/3/drums/A_1891-48.wav,set13/3/drums/B_1903-38.wav,A-,A+,A-,A-,17957
61,ex202404,user2,set13/0/piano/X_1959-37.wav,set13/0/piano/Y_1959-25.wav,set13/0/piano/C_1903-36.wav,A-,A-,A+,A-,15772
62,ex202404,user2,set13/3/guitar/X_1947-33.wav,set13/3/guitar/C_2064-34.wav,set13/3/guitar/Y_1947-69.wav,B+,B-,B-,B-,16762
63,ex202404,user2,set13/1/guitar/X_2081-23.wav,set13/1/guitar/Y_2081-34.wav,set13/1/guitar/C_1996-13.wav,A-,A+,A-,A-,19405
64,ex202404,user2,set13/0/residuals/X_1959-12.wav,set13/0/residuals/A_1931-32.wav,set13/0/residuals/B_1897-37.wav,B-,A-,A-,A-,19709
65,ex202404,user2,set13/3/guitar/X_1947-33.wav,set13/3/guitar/A_1891-52.wav,set13/3/guitar/B_1903-46.wav,B-,B+,B-,B-,21235
66,ex202404,user2,set13/2/drums/X_2017-22.wav,set13/2/drums/A_1959-48.wav,set13/2/drums/B_1973-23.wav,B-,A-,A-,A-,17682
67,ex202404,user2,set13/3/residuals/X_1947-62.wav,set13/3/residuals/A_1891-46.wav,set13/3/residuals/B_1903-1.wav,A+,A-,A+,A-,18119
68,ex202404,user2,set13/0/bass/X_1959-44.wav,set13/0/bass/C_1903-18.wav,set13/0/bass/Y_1959-34.wav,B+,B-,B-,B-,17535
69,ex202404,user2,set13/2/drums/X_2017-22.wav,set13/2/drums/C_2008-30.wav,set13/2/drums/Y_2017-18.wav,B-,B+,B-,B-,17688
70,ex202404,user2,samples/dummyX2.wav,samples/dummyA2.wav,samples/dummyX2.wav,B+,B+,B+,B+,15103
71,ex202404,user2,set13/3/piano/X_1947-43.wav,set13/3/piano/Y_1947-38.wav,set13/3/piano/C_2064-12.wav,A+,A+,A-,A+,16540
72,ex202404,user2,set13/2/piano/X_2017-5.wav,set13/2/piano/A_1959-38.wav,set13/2/piano/B_1973-42.wav,B-,A-,A-,A-,29920
73,ex202404,user2,set13/3/bass/X_1947-39.wav,set13/3/bass/A_1891-26.wav,set13/3/bass/B_1903-36.wav,B-,A-,A-,A-,18511
