,ex_name,userId,Reference,SampleA,SampleB,choice_answerTimbre,choice_answerRhythm,choice_answerMelody,choice_answerTotal,choice_time
2,ex202404,user1,set2/1/bass/X_2086-27.wav,set2/1/bass/A_1954-46.wav,set2/1/bass/B_2037-38.wav,B-,B-,B-,B-,45704
3,ex202404,user1,set2/2/piano/X_1913-28.wav,set2/2/piano/A_1948-22.wav,set2/2/piano/B_1956-37.wav,A-,NA,A-,A-,59801
4,ex202404,user1,set2/3/drums/X_2037-48.wav,set2/3/drums/A_1936-8.wav,set2/3/drums/B_1898-36.wav,NA,A-,NA,A-,53916
7,ex202404,user1,set2/0/piano/X_2090-40.wav,set2/0/piano/A_2051-48.wav,set2/0/piano/B_2023-30.wav,A-,A-,A-,A-,36570
8,ex202404,user1,set2/0/guitar/X_2090-25.wav,set2/0/guitar/A_2051-3.wav,set2/0/guitar/B_2023-23.wav,NA,A-,A-,A-,41479
10,ex202404,user1,set2/0/bass/X_2090-41.wav,set2/0/bass/A_2051-7.wav,set2/0/bass/B_2023-41.wav,NA,A-,A-,A-,34525
13,ex202404,user1,set2/3/bass/X_2037-22.wav,set2/3/bass/A_1936-22.wav,set2/3/bass/B_1898-29.wav,A+,A-,A-,A-,50652
14,ex202404,user1,set2/2/guitar/X_1913-36.wav,set2/2/guitar/A_1948-31.wav,set2/2/guitar/B_1956-8.wav,B-,B-,B-,B-,52639
16,ex202404,user1,set2/2/bass/X_1913-11.wav,set2/2/bass/A_1948-20.wav,set2/2/bass/B_1956-24.wav,A-,NA,NA,A-,70445
17,ex202404,user1,set2/3/residuals/X_2037-20.wav,set2/3/residuals/A_1936-45.wav,set2/3/residuals/B_1898-46.wav,B-,B-,NA,B-,43103
19,ex202404,user1,set2/0/residuals/X_2090-23.wav,set2/0/residuals/A_2051-33.wav,set2/0/residuals/B_2023-44.wav,NA,A-,A-,A-,94505
20,ex202404,user1,set2/0/drums/X_2090-6.wav,set2/0/drums/A_2051-1.wav,set2/0/drums/B_2023-10.wav,NA,NA,B-,B-,109467
22,ex202404,user1,set2/1/piano/X_2086-18.wav,set2/1/piano/A_1954-14.wav,set2/1/piano/B_2037-43.wav,NA,B-,NA,B-,40931
23,ex202404,user1,set2/1/drums/X_2086-36.wav,set2/1/drums/A_1954-15.wav,set2/1/drums/B_2037-46.wav,NA,B+,B+,B+,38150
24,ex202404,user1,set2/2/residuals/X_1913-12.wav,set2/2/residuals/A_1948-25.wav,set2/2/residuals/B_1956-14.wav,NA,A+,A+,A+,35279
28,ex202404,user1,set2/1/residuals/X_2086-39.wav,set2/1/residuals/A_1954-6.wav,set2/1/residuals/B_2037-6.wav,NA,A-,NA,A-,36715
29,ex202404,user1,set2/3/piano/X_2037-38.wav,set2/3/piano/A_1936-47.wav,set2/3/piano/B_1898-46.wav,NA,B-,NA,B-,46308
31,ex202404,user1,set2/1/guitar/X_2086-19.wav,set2/1/guitar/A_1954-17.wav,set2/1/guitar/B_2037-51.wav,NA,A-,NA,A-,50884
33,ex202404,user1,set2/3/guitar/X_2037-5.wav,set2/3/guitar/A_1936-34.wav,set2/3/guitar/B_1898-18.wav,NA,B-,NA,B-,33331
34,ex202404,user1,set2/2/drums/X_1913-20.wav,set2/2/drums/A_1948-39.wav,set2/2/drums/B_1956-16.wav,A-,NA,NA,A-,37633
42,ex202404,user2,set13/1/piano/X_2081-8.wav,set13/1/piano/A_1899-27.wav,set13/1/piano/B_1943-18.wav,A-,B-,B-,B-,35529
48,ex202404,user2,set13/0/bass/X_1959-44.wav,set13/0/bass/A_1931-22.wav,set13/0/bass/B_1897-3.wav,A-,A-,NA,A-,22808
49,ex202404,user2,set13/1/guitar/X_2081-23.wav,set13/1/guitar/A_1899-7.wav,set13/1/guitar/B_1943-28.wav,A-,B-,B-,B-,19791
51,ex202404,user2,set13/0/guitar/X_1959-27.wav,set13/0/guitar/A_1931-14.wav,set13/0/guitar/B_1897-27.wav,B-,B+,B-,B-,15298
53,ex202404,user2,set13/1/drums/X_2081-33.wav,set13/1/drums/A_1899-26.wav,set13/1/drums/B_1943-21.wav,B-,A+,A-,A-,18642
54,ex202404,user2,set13/2/residuals/X_2017-42.wav,set13/2/residuals/A_1959-30.wav,set13/2/residuals/B_1973-18.wav,B-,A-,A-,A-,18036
55,ex202404,user2,set13/1/bass/X_2081-29.wav,set13/1/bass/A_1899-5.wav,set13/1/bass/B_1943-23.wav,A-,A-,A-,A-,16980
56,ex202404,user2,set13/2/guitar/X_2017-34.wav,set13/2/guitar/A_1959-48.wav,set13/2/guitar/B_1973-27.wav,B-,A-,A-,A-,16075
57,ex202404,user2,set13/3/piano/X_1947-43.wav,set13/3/piano/A_1891-10.wav,set13/3/piano/B_1903-3.wav,B-,B-,B-,B-,17524
59,ex202404,user2,set13/0/piano/X_1959-37.wav,set13/0/piano/A_1931-19.wav,set13/0/piano/B_1897-50.wav,B-,B-,B+,B-,31308
60,ex202404,user2,set13/3/drums/X_1947-24.wav,set13/3/drums/A_1891-48.wav,set13/3/drums/B_1903-38.wav,A-,A+,A-,A-,17957
64,ex202404,user2,set13/0/residuals/X_1959-12.wav,set13/0/residuals/A_1931-32.wav,set13/0/residuals/B_1897-37.wav,B-,A-,A-,A-,19709
65,ex202404,user2,set13/3/guitar/X_1947-33.wav,set13/3/guitar/A_1891-52.wav,set13/3/guitar/B_1903-46.wav,B-,B+,B-,B-,21235
66,ex202404,user2,set13/2/drums/X_2017-22.wav,set13/2/drums/A_1959-48.wav,set13/2/drums/B_1973-23.wav,B-,A-,A-,A-,17682
67,ex202404,user2,set13/3/residuals/X_1947-62.wav,set13/3/residuals/A_1891-46.wav,set13/3/residuals/B_1903-1.wav,A+,A-,A+,A-,18119
72,ex202404,user2,set13/2/piano/X_2017-5.wav,set13/2/piano/A_1959-38.wav,set13/2/piano/B_1973-42.wav,B-,A-,A-,A-,29920
73,ex202404,user2,set13/3/bass/X_1947-39.wav,set13/3/bass/A_1891-26.wav,set13/3/bass/B_1903-36.wav,B-,A-,A-,A-,18511
75,ex202404,user2,set13/1/residuals/X_2081-37.wav,set13/1/residuals/A_1899-27.wav,set13/1/residuals/B_1943-14.wav,B-,A-,A-,A-,56553
80,ex202404,user2,set13/0/drums/X_1959-17.wav,set13/0/drums/A_1931-35.wav,set13/0/drums/B_1897-47.wav,A-,A-,A-,A-,21229
81,ex202404,user2,set13/2/bass/X_2017-23.wav,set13/2/bass/A_1959-26.wav,set13/2/bass/B_1973-35.wav,B-,A-,A-,A-,18058
83,ex202404,user3,set9/1/bass/X_1950-6.wav,set9/1/bass/A_1876-41.wav,set9/1/bass/B_2049-28.wav,A+,A+,A+,A+,57515
84,ex202404,user3,set9/3/piano/X_1968-25.wav,set9/3/piano/A_2054-52.wav,set9/3/piano/B_1981-18.wav,NA,A-,NA,A-,147817
85,ex202404,user3,set9/3/residuals/X_1968-35.wav,set9/3/residuals/A_2054-21.wav,set9/3/residuals/B_1981-26.wav,A+,NA,A-,A-,66881
87,ex202404,user3,set9/2/guitar/X_1907-23.wav,set9/2/guitar/A_1986-53.wav,set9/2/guitar/B_1952-26.wav,A-,NA,NA,A-,66600
90,ex202404,user3,set9/1/drums/X_1950-25.wav,set9/1/drums/A_1876-29.wav,set9/1/drums/B_2049-35.wav,A-,A-,A-,A-,31103
91,ex202404,user3,set9/3/bass/X_1968-40.wav,set9/3/bass/A_2054-50.wav,set9/3/bass/B_1981-31.wav,A-,NA,NA,A-,45575
92,ex202404,user3,set9/1/residuals/X_1950-39.wav,set9/1/residuals/A_1876-7.wav,set9/1/residuals/B_2049-25.wav,A-,NA,NA,A-,29439
93,ex202404,user3,set9/1/guitar/X_1950-20.wav,set9/1/guitar/A_1876-9.wav,set9/1/guitar/B_2049-20.wav,A-,NA,NA,A-,54047
94,ex202404,user3,set9/1/piano/X_1950-5.wav,set9/1/piano/A_1876-21.wav,set9/1/piano/B_2049-33.wav,NA,NA,A-,A-,56504
95,ex202404,user3,set9/3/drums/X_1968-27.wav,set9/3/drums/A_2054-16.wav,set9/3/drums/B_1981-42.wav,A-,A-,A-,A-,50764
96,ex202404,user3,set9/0/bass/X_1931-2.wav,set9/0/bass/A_1897-43.wav,set9/0/bass/B_2019-52.wav,NA,B-,B-,B-,46292
98,ex202404,user3,set9/0/piano/X_1931-42.wav,set9/0/piano/A_1897-45.wav,set9/0/piano/B_2019-16.wav,B-,NA,NA,B-,44078
101,ex202404,user3,set9/0/guitar/X_1931-3.wav,set9/0/guitar/A_1897-3.wav,set9/0/guitar/B_2019-17.wav,NA,A-,A-,A-,31580
104,ex202404,user3,set9/2/residuals/X_1907-21.wav,set9/2/residuals/A_1986-7.wav,set9/2/residuals/B_1952-36.wav,B-,NA,NA,B-,44164
108,ex202404,user3,set9/0/residuals/X_1931-8.wav,set9/0/residuals/A_1897-53.wav,set9/0/residuals/B_2019-53.wav,B-,NA,B-,B-,35323
109,ex202404,user3,set9/2/bass/X_1907-36.wav,set9/2/bass/A_1986-52.wav,set9/2/bass/B_1952-12.wav,B-,NA,NA,B-,51700
112,ex202404,user3,set9/0/drums/X_1931-44.wav,set9/0/drums/A_1897-45.wav,set9/0/drums/B_2019-26.wav,B-,B-,B-,B-,27083
113,ex202404,user3,set9/2/drums/X_1907-32.wav,set9/2/drums/A_1986-15.wav,set9/2/drums/B_1952-24.wav,B-,B+,B+,B+,27546
118,ex202404,user3,set9/2/piano/X_1907-29.wav,set9/2/piano/A_1986-7.wav,set9/2/piano/B_1952-31.wav,B+,B-,B-,B-,32471
122,ex202404,user3,set9/3/guitar/X_1968-46.wav,set9/3/guitar/A_2054-24.wav,set9/3/guitar/B_1981-30.wav,B-,NA,NA,B-,53983
124,ex202404,user4,set15/2/drums/X_1882-42.wav,set15/2/drums/A_1990-53.wav,set15/2/drums/B_1897-47.wav,A-,A-,A-,A-,29911
126,ex202404,user4,set15/2/guitar/X_1882-9.wav,set15/2/guitar/A_1990-13.wav,set15/2/guitar/B_1897-25.wav,A-,A-,A-,A-,17398
128,ex202404,user4,set15/0/piano/X_1925-16.wav,set15/0/piano/A_1986-32.wav,set15/0/piano/B_1898-5.wav,B-,A-,A-,A-,18588
130,ex202404,user4,set15/0/bass/X_1925-31.wav,set15/0/bass/A_1986-8.wav,set15/0/bass/B_1898-29.wav,A-,A-,B-,A-,24105
135,ex202404,user4,set15/0/guitar/X_1925-2.wav,set15/0/guitar/A_1986-54.wav,set15/0/guitar/B_1898-35.wav,B-,B-,B-,B-,20546
136,ex202404,user4,set15/3/guitar/X_2016-45.wav,set15/3/guitar/A_1990-76.wav,set15/3/guitar/B_2030-62.wav,B-,A-,B-,B-,19091
138,ex202404,user4,set15/1/bass/X_1977-11.wav,set15/1/bass/A_1902-32.wav,set15/1/bass/B_2050-2.wav,B-,B-,B-,B-,71890
140,ex202404,user4,set15/2/piano/X_1882-24.wav,set15/2/piano/A_1990-34.wav,set15/2/piano/B_1897-26.wav,A-,A-,A-,A-,17965
142,ex202404,user4,set15/1/residuals/X_1977-40.wav,set15/1/residuals/A_1902-37.wav,set15/1/residuals/B_2050-39.wav,A-,A-,A-,A-,36832
143,ex202404,user4,set15/3/residuals/X_2016-29.wav,set15/3/residuals/A_1990-42.wav,set15/3/residuals/B_2030-57.wav,A-,B-,B-,B-,96472
145,ex202404,user4,set15/1/piano/X_1977-30.wav,set15/1/piano/A_1902-7.wav,set15/1/piano/B_2050-5.wav,B-,B-,B-,B-,17830
149,ex202404,user4,set15/0/drums/X_1925-27.wav,set15/0/drums/A_1986-49.wav,set15/0/drums/B_1898-18.wav,A-,B-,B-,B-,15588
153,ex202404,user4,set15/1/guitar/X_1977-31.wav,set15/1/guitar/A_1902-15.wav,set15/1/guitar/B_2050-22.wav,B-,B-,B-,B-,21564
154,ex202404,user4,set15/3/piano/X_2016-39.wav,set15/3/piano/A_1990-28.wav,set15/3/piano/B_2030-4.wav,B-,B-,A-,B-,28615
155,ex202404,user4,set15/2/residuals/X_1882-2.wav,set15/2/residuals/A_1990-16.wav,set15/2/residuals/B_1897-43.wav,A-,B-,A-,A-,18010
156,ex202404,user4,set15/3/bass/X_2016-49.wav,set15/3/bass/A_1990-15.wav,set15/3/bass/B_2030-32.wav,B-,A+,A+,A-,19408
157,ex202404,user4,set15/2/bass/X_1882-39.wav,set15/2/bass/A_1990-12.wav,set15/2/bass/B_1897-27.wav,A-,A-,A-,A-,18938
160,ex202404,user4,set15/0/residuals/X_1925-6.wav,set15/0/residuals/A_1986-7.wav,set15/0/residuals/B_1898-31.wav,B-,A-,A-,A-,24914
162,ex202404,user4,set15/1/drums/X_1977-40.wav,set15/1/drums/A_1902-48.wav,set15/1/drums/B_2050-43.wav,A-,B-,B-,B-,17188
164,ex202404,user5,set8/0/guitar/X_2044-30.wav,set8/0/guitar/A_1978-12.wav,set8/0/guitar/B_2079-6.wav,A+,A-,A+,A+,62052
166,ex202404,user5,set8/0/piano/X_2044-13.wav,set8/0/piano/A_1978-52.wav,set8/0/piano/B_2079-15.wav,B-,B-,A+,A-,44030
172,ex202404,user5,set8/1/drums/X_1987-19.wav,set8/1/drums/A_1993-33.wav,set8/1/drums/B_1876-49.wav,B-,B-,NA,B-,71778
174,ex202404,user5,set8/1/bass/X_1987-15.wav,set8/1/bass/A_1993-60.wav,set8/1/bass/B_1876-23.wav,B-,A+,A-,A-,29822
176,ex202404,user5,set8/3/bass/X_2074-7.wav,set8/3/bass/A_2024-5.wav,set8/3/bass/B_1945-21.wav,NA,B-,B-,B-,31095
177,ex202404,user5,set8/3/piano/X_2074-47.wav,set8/3/piano/A_2024-24.wav,set8/3/piano/B_1945-5.wav,A+,NA,B-,A-,35910
179,ex202404,user5,set8/3/guitar/X_2074-52.wav,set8/3/guitar/A_2024-25.wav,set8/3/guitar/B_1945-14.wav,NA,B-,NA,B-,46667
180,ex202404,user5,set8/1/residuals/X_1987-27.wav,set8/1/residuals/A_1993-46.wav,set8/1/residuals/B_1876-46.wav,A+,A-,A+,A+,26310
182,ex202404,user5,set8/2/piano/X_1929-19.wav,set8/2/piano/A_2051-6.wav,set8/2/piano/B_1907-30.wav,A-,NA,NA,A-,40779
183,ex202404,user5,set8/0/drums/X_2044-5.wav,set8/0/drums/A_1978-34.wav,set8/0/drums/B_2079-29.wav,A+,B-,NA,A-,41303
188,ex202404,user5,set8/3/drums/X_2074-16.wav,set8/3/drums/A_2024-5.wav,set8/3/drums/B_1945-4.wav,B-,B+,B+,B+,33174
189,ex202404,user5,set8/0/bass/X_2044-34.wav,set8/0/bass/A_1978-53.wav,set8/0/bass/B_2079-14.wav,A+,A+,A-,A+,42262
191,ex202404,user5,set8/2/bass/X_1929-32.wav,set8/2/bass/A_2051-8.wav,set8/2/bass/B_1907-28.wav,B-,NA,NA,B-,120135
192,ex202404,user5,set8/1/guitar/X_1987-32.wav,set8/1/guitar/A_1993-8.wav,set8/1/guitar/B_1876-50.wav,B-,B-,NA,B-,47412
193,ex202404,user5,set8/2/drums/X_1929-23.wav,set8/2/drums/A_2051-16.wav,set8/2/drums/B_1907-18.wav,B-,A-,B-,B-,29530
194,ex202404,user5,set8/2/guitar/X_1929-27.wav,set8/2/guitar/A_2051-18.wav,set8/2/guitar/B_1907-32.wav,B-,NA,NA,B-,44868
195,ex202404,user5,set8/1/piano/X_1987-48.wav,set8/1/piano/A_1993-65.wav,set8/1/piano/B_1876-33.wav,B-,NA,NA,B-,73508
197,ex202404,user5,set8/0/residuals/X_2044-18.wav,set8/0/residuals/A_1978-13.wav,set8/0/residuals/B_2079-23.wav,B-,B-,B-,B-,28906
206,ex202404,user6,set21/3/residuals/X_1994-15.wav,set21/3/residuals/A_1955-34.wav,set21/3/residuals/B_1881-33.wav,NA,A-,A-,A-,33301
207,ex202404,user6,set21/3/guitar/X_1994-8.wav,set21/3/guitar/A_1955-49.wav,set21/3/guitar/B_1881-40.wav,A+,A-,A+,A-,22377
210,ex202404,user6,set21/2/piano/X_1955-46.wav,set21/2/piano/A_1930-53.wav,set21/2/piano/B_1887-20.wav,NA,A-,NA,A-,48017
212,ex202404,user6,set21/1/piano/X_2004-8.wav,set21/1/piano/A_1974-5.wav,set21/1/piano/B_1895-16.wav,B-,B+,B+,B+,40397
213,ex202404,user6,set21/1/residuals/X_2004-1.wav,set21/1/residuals/A_1974-7.wav,set21/1/residuals/B_1895-23.wav,A+,A-,A-,A-,20977
214,ex202404,user6,set21/2/drums/X_1955-38.wav,set21/2/drums/A_1930-35.wav,set21/2/drums/B_1887-21.wav,B-,B+,B-,B-,36785
215,ex202404,user6,set21/3/drums/X_1994-14.wav,set21/3/drums/A_1955-21.wav,set21/3/drums/B_1881-72.wav,NA,B-,B-,B-,33660
217,ex202404,user6,set21/2/guitar/X_1955-1.wav,set21/2/guitar/A_1930-60.wav,set21/2/guitar/B_1887-49.wav,A-,A-,NA,A-,34580
220,ex202404,user6,set21/0/guitar/X_1963-33.wav,set21/0/guitar/A_2094-36.wav,set21/0/guitar/B_1973-12.wav,B-,NA,NA,B-,25005
223,ex202404,user6,set21/0/piano/X_1963-23.wav,set21/0/piano/A_2094-48.wav,set21/0/piano/B_1973-9.wav,B+,NA,B-,B-,25728
227,ex202404,user6,set21/2/bass/X_1955-38.wav,set21/2/bass/A_1930-18.wav,set21/2/bass/B_1887-74.wav,NA,A-,NA,A-,24255
230,ex202404,user6,set21/1/drums/X_2004-18.wav,set21/1/drums/A_1974-25.wav,set21/1/drums/B_1895-16.wav,A-,NA,A-,A-,40008
232,ex202404,user6,set21/0/residuals/X_1963-22.wav,set21/0/residuals/A_2094-55.wav,set21/0/residuals/B_1973-10.wav,B-,NA,NA,B-,34846
233,ex202404,user6,set21/3/piano/X_1994-8.wav,set21/3/piano/A_1955-49.wav,set21/3/piano/B_1881-14.wav,NA,B-,B-,B-,41652
234,ex202404,user6,set21/1/guitar/X_2004-7.wav,set21/1/guitar/A_1974-18.wav,set21/1/guitar/B_1895-21.wav,NA,A+,A-,A-,36434
235,ex202404,user6,set21/0/drums/X_1963-45.wav,set21/0/drums/A_2094-41.wav,set21/0/drums/B_1973-30.wav,A+,NA,NA,A-,44225
237,ex202404,user6,set21/0/bass/X_1963-39.wav,set21/0/bass/A_2094-12.wav,set21/0/bass/B_1973-21.wav,B-,B-,B+,B-,28183
240,ex202404,user6,set21/1/bass/X_2004-13.wav,set21/1/bass/A_1974-14.wav,set21/1/bass/B_1895-18.wav,A-,A-,NA,A-,44528
241,ex202404,user6,set21/2/residuals/X_1955-45.wav,set21/2/residuals/A_1930-13.wav,set21/2/residuals/B_1887-24.wav,A+,NA,A-,A-,42545
244,ex202404,user6,set21/3/bass/X_1994-17.wav,set21/3/bass/A_1955-12.wav,set21/3/bass/B_1881-27.wav,NA,B-,B-,B-,29101
249,ex202404,user7,set22/1/bass/X_1961-45.wav,set22/1/bass/A_2007-53.wav,set22/1/bass/B_1986-37.wav,NA,B-,B-,B-,77801
251,ex202404,user7,set22/3/bass/X_1990-42.wav,set22/3/bass/A_2008-25.wav,set22/3/bass/B_1916-6.wav,B-,B-,B-,B-,60027
257,ex202404,user7,set22/1/drums/X_1961-19.wav,set22/1/drums/A_2007-46.wav,set22/1/drums/B_1986-49.wav,A-,A-,NA,A-,26691
259,ex202404,user7,set22/2/drums/X_1994-30.wav,set22/2/drums/A_2061-42.wav,set22/2/drums/B_1878-47.wav,B+,A-,NA,B-,58544
260,ex202404,user7,set22/3/guitar/X_1990-62.wav,set22/3/guitar/A_2008-32.wav,set22/3/guitar/B_1916-17.wav,A-,A-,B-,A-,53048
261,ex202404,user7,set22/2/residuals/X_1994-19.wav,set22/2/residuals/A_2061-28.wav,set22/2/residuals/B_1878-48.wav,B+,A+,A-,A-,37136
262,ex202404,user7,set22/1/guitar/X_1961-56.wav,set22/1/guitar/A_2007-27.wav,set22/1/guitar/B_1986-6.wav,A+,A-,A+,A+,50224
263,ex202404,user7,set22/3/piano/X_1990-77.wav,set22/3/piano/A_2008-18.wav,set22/3/piano/B_1916-22.wav,A-,A-,NA,A-,35734
269,ex202404,user7,set22/0/bass/X_1995-10.wav,set22/0/bass/A_1878-24.wav,set22/0/bass/B_1907-33.wav,B-,A-,A-,A-,60775
