Unnamed: 0,ex_name,subject_id,reference,sample_a,sample_b,answer_timbre,answer_rhythm,answer_melody,answer_total,choice_time
0,ex202404,subject1,set2/2/piano/X_1913-28.wav,set2/2/piano/C_1916-39.wav,set2/2/piano/Y_1913-8.wav,B+,B+,B+,B+,36481
1,ex202404,subject1,set2/0/residuals/X_2090-23.wav,set2/0/residuals/Y_2090-7.wav,set2/0/residuals/C_2095-48.wav,A+,A-,A-,A-,36029
5,ex202404,subject1,set2/2/guitar/X_1913-36.wav,set2/2/guitar/Y_1913-6.wav,set2/2/guitar/C_1916-38.wav,A+,A+,A+,A+,24175
6,ex202404,subject1,set2/2/residuals/X_1913-12.wav,set2/2/residuals/Y_1913-67.wav,set2/2/residuals/C_1916-7.wav,A+,A-,A-,A+,56880
9,ex202404,subject1,set2/3/guitar/X_2037-5.wav,set2/3/guitar/C_2024-13.wav,set2/3/guitar/Y_2037-3.wav,B+,B+,B+,B+,23297
11,ex202404,subject1,set2/2/drums/X_1913-20.wav,set2/2/drums/Y_1913-45.wav,set2/2/drums/C_1916-34.wav,A+,A+,A+,A+,30974
12,ex202404,subject1,set2/3/piano/X_2037-38.wav,set2/3/piano/C_2024-34.wav,set2/3/piano/Y_2037-35.wav,B+,B+,B+,B+,27149
15,ex202404,subject1,set2/1/residuals/X_2086-39.wav,set2/1/residuals/C_2010-70.wav,set2/1/residuals/Y_2086-40.wav,B+,B-,B-,B-,26250
18,ex202404,subject1,set2/0/bass/X_2090-41.wav,set2/0/bass/Y_2090-16.wav,set2/0/bass/C_2095-41.wav,A+,A-,A-,A-,45142
21,ex202404,subject1,set2/3/bass/X_2037-22.wav,set2/3/bass/C_2024-16.wav,set2/3/bass/Y_2037-33.wav,B-,B-,NA,B-,36456
25,ex202404,subject1,set2/2/bass/X_1913-11.wav,set2/2/bass/Y_1913-61.wav,set2/2/bass/C_1916-38.wav,A-,A-,NA,A-,38913
27,ex202404,subject1,set2/1/bass/X_2086-27.wav,set2/1/bass/C_2010-51.wav,set2/1/bass/Y_2086-44.wav,B+,B-,NA,B+,41281
